,Airlines,Sources,Destinations,Duration,Total Stops,Date,Arrival Time,Departure Time,Prices
0,Air India,BOM,DEL,2h 15m,direct,5/5/2024,9:15,7:00,"₹ 4,875"
1,Vistara,BOM,DEL,2h 10m,direct,5/5/2024,01:00+1,22:50,"₹ 4,906"
2,Vistara,BOM,DEL,2h 10m,direct,5/5/2024,8:05,5:55,"₹ 4,935"
3,SpiceJet,BOM,DEL,2h 15m,direct,5/5/2024,00:55+1,22:40,"₹ 5,142"
4,SpiceJet,BOM,DEL,2h 15m,direct,5/5/2024,01:55+1,23:40,"₹ 5,251"
5,SpiceJet,BOM,DEL,2h 10m,direct,5/5/2024,14:55,12:45,"₹ 5,293"
6,Vistara,BOM,DEL,2h 05m,direct,5/5/2024,21:15,19:10,"₹ 5,343"
7,Vistara,BOM,DEL,2h 15m,direct,5/5/2024,00:10+1,21:55,"₹ 5,343"
8,SpiceJet,BOM,DEL,2h 10m,direct,5/5/2024,8:35,6:25,"₹ 5,355"
9,Air India,BOM,DEL,2h 15m,direct,5/5/2024,23:15,21:00,"₹ 5,363"
10,Akasa Air,BOM,DEL,2h 15m,direct,5/5/2024,10:05,7:50,"₹ 5,425"
11,IndiGo,BOM,DEL,2h 05m,direct,5/5/2024,01:35+1,23:30,"₹ 5,447"
12,IndiGo,BOM,DEL,2h 10m,direct,5/5/2024,00:25+1,22:15,"₹ 5,447"
13,IndiGo,BOM,DEL,2h 05m,direct,5/5/2024,9:05,7:00,"₹ 5,552"
14,IndiGo,BOM,DEL,2h 05m,direct,5/5/2024,9:50,7:45,"₹ 5,552"
15,IndiGo,BOM,DEL,2h 05m,direct,5/5/2024,8:20,6:15,"₹ 5,762"
16,Vistara,BOM,DEL,2h 10m,direct,5/5/2024,20:40,18:30,"₹ 5,910"
17,Vistara,BOM,DEL,2h 15m,direct,5/5/2024,22:55,20:40,"₹ 5,910"
18,Akasa Air,BOM,DEL,2h 20m,direct,5/5/2024,21:15,18:55,"₹ 5,997"
19,Air India,BOM,DEL,2h 20m,direct,5/5/2024,20:20,18:00,"₹ 6,002"
20,IndiGo,BOM,DEL,2h 05m,direct,5/5/2024,10:35,8:30,"₹ 5,867"
21,Vistara,BOM,DEL,2h 05m,direct,5/5/2024,9:35,7:30,"₹ 5,910"
22,Vistara,BOM,DEL,2h 10m,direct,5/5/2024,21:55,19:45,"₹ 5,910"
23,IndiGo,BOM,DEL,2h 10m,direct,5/5/2024,22:10,20:00,"₹ 5,972"
24,IndiGo,BOM,DEL,2h 10m,direct,5/5/2024,21:10,19:00,"₹ 5,972"
25,Air India,BOM,DEL,2h 15m,direct,5/5/2024,21:15,19:00,"₹ 6,002"
26,Air India,BOM,DEL,2h 20m,direct,5/5/2024,11:20,9:00,"₹ 6,002"
27,Air India,BOM,DEL,2h 30m,direct,5/5/2024,18:30,16:00,"₹ 6,107"
28,IndiGo,BOM,DEL,2h 10m,direct,5/5/2024,19:10,17:00,"₹ 6,287"
29,Vistara,BOM,DEL,2h 10m,direct,5/5/2024,8:40,6:30,"₹ 6,482"
30,IndiGo,BOM,DEL,2h 10m,direct,5/5/2024,23:25,21:15,"₹ 6,497"
31,Air India,BOM,DEL,2h 20m,direct,5/5/2024,17:55,15:35,"₹ 6,517"
32,Akasa Air,BOM,DEL,2h 10m,direct,5/5/2024,15:15,13:05,"₹ 6,571"
33,IndiGo,BOM,DEL,2h 15m,direct,5/5/2024,7:05,4:50,"₹ 6,692"
